Id,State,Rank
0,Texas,0.0
1,Hawaii,1.0
2,District of Columbia,0.98
3,Nebraska,0.96
4,Delaware,0.94
5,Kentucky,0.92
6,South Carolina,0.9
7,North Dakota,0.88
8,Rhode Island,0.86
9,South Dakota,0.84
10,Nevada,0.82
11,Alabama,0.8
12,Maryland,0.78
13,Massachusetts,0.76
14,Minnesota,0.74
15,Wyoming,0.72
16,Tennessee,0.7
17,New Hampshire,0.68
18,Utah,0.66
19,Iowa,0.64
20,Mississippi,0.62
21,Arkansas,0.6
22,Kansas,0.58
23,Virginia,0.56
24,Georgia,0.54
25,Vermont,0.52
26,Missouri,0.5
27,California,0.48
28,Montana,0.46
29,Oregon,0.44
30,Idaho,0.42
31,North Carolina,0.4
32,Connecticut,0.38
33,Wisconsin,0.36
34,Maine,0.34
35,Colorado,0.32
36,Louisiana,0.3
37,Arizona,0.28
38,Florida,0.26
39,Ohio,0.24
40,New Mexico,0.22
41,New Jersey,0.2
42,Washington,0.18
43,Indiana,0.16
44,Illinois,0.14
45,Alaska,0.12
46,Michigan,0.1
47,Oklahoma,0.08
48,New York,0.06
49,West Virginia,0.04
50,Pennsylvania,0.02
