,State,Rank
0,Alabama,0.7796155888910355
1,Alaska,0.7389308242686851
2,Arizona,0.6749537366544354
3,Arkansas,0.8302474911786611
4,California,0.8674494716022793
5,Colorado,0.7449139790600774
6,Connecticut,0.5032099581664047
7,Delaware,0.4443786865934976
8,District of Columbia,0.209268136788735
9,Florida,0.6035370962031374
10,Georgia,0.8278386922976743
11,Hawaii,0.8314169463273567
12,Idaho,0.8059989662083973
13,Illinois,0.7012853519484383
14,Indiana,0.6019081318234768
15,Iowa,0.911284228666566
16,Kansas,0.8934416959062957
17,Kentucky,0.3881337109832611
18,Louisiana,0.6431497938074966
19,Maine,0.5184045536974001
20,Maryland,0.3406811130339733
21,Massachusetts,0.3711724752620222
22,Michigan,0.5868193601306386
23,Minnesota,0.859906269430539
24,Mississippi,0.8693484049109595
25,Missouri,0.6139307562185661
26,Montana,0.8779930843721779
27,Nebraska,1.0
28,Nevada,0.6111352036280399
29,New Hampshire,0.2915690369957964
30,New Jersey,0.6023779478077863
31,New Mexico,0.5775959614472833
32,New York,0.7110275881676544
33,North Carolina,0.6907252424685635
34,North Dakota,0.9079014555194722
35,Ohio,0.2620991096504621
36,Oklahoma,0.6563332896285354
37,Oregon,0.8554487662882757
38,Pennsylvania,0.2878166989162268
39,Rhode Island,0.414869446993489
40,South Carolina,0.7278639781572979
41,South Dakota,0.9599742280654382
42,Tennessee,0.5661598697377247
43,Texas,0.907862858755886
44,United States,0.6808288030778722
45,Utah,0.6541802335428766
46,Vermont,0.6731959061229675
47,Virginia,0.752041008335404
48,Washington,0.7897205489424715
49,West Virginia,0.0
50,Wisconsin,0.7071971168003535
51,Wyoming,0.7471372001870802
