,State,Rank
,Washington,0.82
,Hawaii,0.2
,California,1.0
,Rhode Island,0.12
,Maine,0.14
,Florida,0.94
,New Hampshire,0.24
,Vermont,0.0
,Delaware,0.16
,Oregon,0.52
,Minnesota,0.62
,Michigan,0.74
,Massachusetts,0.78
,Maryland,0.72
,New York,0.96
,Nevada,0.38
,Idaho,0.22
,Wisconsin,0.6
,Virginia,0.76
,Tennessee,0.68
,South Dakota,0.08
,Connecticut,0.56
,Missouri,0.58
,Georgia,0.86
,New Jersey,0.84
,Pennsylvania,0.9
,Iowa,0.42
,Kentucky,0.46
,North Carolina,0.8
,Arkansas,0.3
,Alabama,0.48
,Nebraska,0.32
,South Carolina,0.54
,West Virginia,0.18
,Colorado,0.7
,Texas,0.98
,Ohio,0.88
,Arizona,0.64
,New Mexico,0.26
,Montana,0.06
,Wyoming,0.02
,Mississippi,0.28
,Utah,0.44
,Kansas,0.36
,Illinois,0.92
,Indiana,0.66
,North Dakota,0.1
,Oklahoma,0.4
,Alaska,0.04
,Louisiana,0.5
