,State,Rank
,Hawaii,1.0
,District of Columbia,0.98
,Nebraska,0.96
,Delaware,0.94
,Kentucky,0.92
,South Carolina,0.9
,North Dakota,0.88
,Rhode Island,0.86
,South Dakota,0.84
,Nevada,0.82
,Alabama,0.8
,Maryland,0.78
,Massachusetts,0.76
,Minnesota,0.74
,Wyoming,0.72
,Tennessee,0.7
,New Hampshire,0.68
,Utah,0.66
,Iowa,0.64
,Mississippi,0.62
,Arkansas,0.6
,Kansas,0.58
,Virginia,0.56
,Georgia,0.54
,Vermont,0.52
,Missouri,0.5
,California,0.48
,Montana,0.46
,Oregon,0.44
,Idaho,0.42
,North Carolina,0.4
,Connecticut,0.38
,Wisconsin,0.36
,Maine,0.34
,Colorado,0.32
,Louisiana,0.3
,Arizona,0.28
,Florida,0.26
,Ohio,0.24
,New Mexico,0.22
,New Jersey,0.2
,Washington,0.18
,Indiana,0.16
,Illinois,0.14
,Alaska,0.12
,Michigan,0.1
,Oklahoma,0.08
,New York,0.06
,West Virginia,0.04
,Pennsylvania,0.02
,Texas,0.0
