,State,Total
0,,19.82
1,Alabama,9.84
2,Arkansas,8.32
3,Arizona,10.44
4,California,18.0
5,Colorado,10.27
6,Connecticut,19.13
7,District of Columbia,11.9
8,Delaware,10.24
9,Florida,10.06
10,Georgia,9.93
11,,27.55
12,Iowa,8.97
13,Idaho,7.99
14,Illinois,9.75
15,Indiana,9.92
16,Kansas,10.38
17,Kentucky,8.58
18,Louisiana,7.51
19,Massachusetts,18.19
20,Maryland,11.15
21,Maine,13.54
22,Michigan,12.21
23,Minnesota,10.57
24,Missouri,9.64
25,Mississippi,9.13
26,Montana,9.13
27,North Carolina,9.43
28,North Dakota,8.53
29,Nebraska,8.97
30,New Hampshire,16.63
31,New Jersey,13.63
32,New Mexico,9.33
33,Nevada,8.33
34,New York,14.87
35,Ohio,9.44
36,Oklahoma,7.63
37,Oregon,8.82
38,Pennsylvania,9.7
39,Rhode Island,18.54
40,South Carolina,9.9
41,South Dakota,10.06
42,Tennessee,9.52
43,Texas,8.36
44,Utah,8.27
45,Virginia,9.16
46,Vermont,16.33
47,Washington,8.33
48,Wisconsin,10.82
49,West Virginia,8.75
50,Wyoming,8.27
51,,10.59
